date,accuracy
1/25/18 0:00,190220.23
3/1/18 0:00,186791.52
1/25/18 0:00,236602.42
1/26/18 0:00,343140.56
1/14/18 0:00,523007.4
1/4/18 0:00,186827.03
1/25/18 0:00,100495.06
1/18/18 0:00,121936.77
1/11/18 0:00,169540.58
1/12/18 0:00,123798.54
1/28/18 0:00,109127.63
1/20/18 0:00,9999000
1/13/18 0:00,188487.38
1/10/18 0:00,140310.6
1/19/18 0:00,114598.2
1/27/18 0:00,317425.06
1/25/18 0:00,165062.42
1/28/18 0:00,186705.73
1/10/18 0:00,186760.75
1/3/18 0:00,186834.03
1/10/18 0:00,118366.125
1/14/18 0:00,186708.97
1/27/18 0:00,636105.44
1/30/18 0:00,116654.85
1/25/18 0:00,186820.75
1/17/18 0:00,225038.3
1/18/18 0:00,121936.77
1/3/18 0:00,186834.03
1/4/18 0:00,186896.77
1/18/18 0:00,130442.36
1/14/18 0:00,128504.43
1/14/18 0:00,130514.62
1/1/18 0:00,186706.48
1/19/18 0:00,186700.89
1/2/18 0:00,100375.875
1/26/18 0:00,232778.56
1/2/18 0:00,186705.16
1/6/18 0:00,140401.4
1/27/18 0:00,186944.14
1/12/18 0:00,186720.25
1/26/18 0:00,145121.36
1/3/18 0:00,550965.94
1/20/18 0:00,165360.2
1/13/18 0:00,121127.664
1/13/18 0:00,186958.45
1/14/18 0:00,186708.97
1/5/18 0:00,186747.77
1/30/18 0:00,107737.75
1/4/18 0:00,186852.19
1/12/18 0:00,139640.94
1/5/18 0:00,375078.38
1/3/18 0:00,186884.39
1/30/18 0:00,186773.34
1/4/18 0:00,186896.77
1/19/18 0:00,107737
1/10/18 0:00,186760.75
1/14/18 0:00,141301.22
1/16/18 0:00,125789.15
1/6/18 0:00,154066.19
1/19/18 0:00,186800.11
1/27/18 0:00,256378.42
1/27/18 0:00,187276.72
1/5/18 0:00,375078.38
1/9/18 0:00,117846.164
1/29/18 0:00,204090.88
1/4/18 0:00,186855.9
1/12/18 0:00,126040.914
1/18/18 0:00,107987.875
1/6/18 0:00,186817.11
1/4/18 0:00,121688.55
1/4/18 0:00,186750.23
1/6/18 0:00,219083.77
1/11/18 0:00,121193
1/5/18 0:00,186927.72
1/12/18 0:00,186815.78
1/6/18 0:00,219083.77
1/5/18 0:00,139471.62
1/19/18 0:00,4678358
1/7/18 0:00,293108.9
1/13/18 0:00,100404.79
1/12/18 0:00,147808.28
1/30/18 0:00,186835.27
1/30/18 0:00,141858.77
1/10/18 0:00,166030.73
1/3/18 0:00,185766.56
1/5/18 0:00,186862.52
1/11/18 0:00,186743.28
1/13/18 0:00,122695.39
1/30/18 0:00,187764.42
1/8/18 0:00,128519.69
1/3/18 0:00,186809.27
1/9/18 0:00,146169.33
1/28/18 0:00,186718.88
1/10/18 0:00,272271.9
1/5/18 0:00,108919.2
1/27/18 0:00,113495.1
1/6/18 0:00,154066.19
1/5/18 0:00,145772.33
1/3/18 0:00,186931.84
1/23/18 0:00,128787.445
1/27/18 0:00,256378.42
1/31/18 0:00,118539.6
1/12/18 0:00,186720.25
1/13/18 0:00,186774.38
1/3/18 0:00,186796.47
1/14/18 0:00,186708.97
1/19/18 0:00,186800.11
1/1/18 0:00,253320.02
1/3/18 0:00,186791.52
1/24/18 0:00,174754.23
1/10/18 0:00,186760.75
1/13/18 0:00,309153.1
1/30/18 0:00,186706.48
1/25/18 0:00,156639.55
1/5/18 0:00,186853.44
1/7/18 0:00,8820935
1/14/18 0:00,186708.97
1/30/18 0:00,186907.92
1/10/18 0:00,186760.75
1/2/18 0:00,186705.16
1/26/18 0:00,245164.39
1/1/18 0:00,186706.48
1/30/18 0:00,107737.75
1/28/18 0:00,101805.67
1/7/18 0:00,138198.36
1/6/18 0:00,186817.11
1/11/18 0:00,378404.62
1/13/18 0:00,188487.38
1/4/18 0:00,149863.11
1/19/18 0:00,221749.67
1/20/18 0:00,151862.69
1/26/18 0:00,147109.48
1/4/18 0:00,186753.12
1/19/18 0:00,107737
1/2/18 0:00,186705.16
1/11/18 0:00,153460.56
1/7/18 0:00,182383.1
1/27/18 0:00,345929.9
1/3/18 0:00,186727.95
1/27/18 0:00,187276.72
1/28/18 0:00,186715.08
1/4/18 0:00,186875.72
1/3/18 0:00,186699.48
1/19/18 0:00,186699.95
1/20/18 0:00,126978.9
1/3/18 0:00,186922.38
1/18/18 0:00,189321.34
1/11/18 0:00,100905.35
1/9/18 0:00,106923.45
1/12/18 0:00,189763.19
1/4/18 0:00,186852.19
1/5/18 0:00,375078.38
1/13/18 0:00,680274.56
1/3/18 0:00,186931.84
1/11/18 0:00,186743.28
1/6/18 0:00,140401.4
1/12/18 0:00,186720.25
1/30/18 0:00,186907.92
1/5/18 0:00,108919.2
1/5/18 0:00,139471.62
1/14/18 0:00,186708.97
1/27/18 0:00,256378.42
1/6/18 0:00,190392.56
1/24/18 0:00,155377.69
1/12/18 0:00,139542.88
1/4/18 0:00,186827.42
1/26/18 0:00,155691.45
1/5/18 0:00,108919.2
1/5/18 0:00,108919.2
1/14/18 0:00,113904.06
1/20/18 0:00,209854.61
1/19/18 0:00,194127.4
1/26/18 0:00,194899.27
1/13/18 0:00,186704.34
1/5/18 0:00,168033.6
1/10/18 0:00,186760.75
1/19/18 0:00,107737
1/19/18 0:00,186734.88
1/12/18 0:00,224630.77
1/4/18 0:00,186827.42
1/13/18 0:00,144197.08
1/19/18 0:00,198845
1/3/18 0:00,186792.36
1/27/18 0:00,202045.84
1/27/18 0:00,256378.42
1/6/18 0:00,154915.95
1/5/18 0:00,186784.08
1/9/18 0:00,188487.38
1/3/18 0:00,321858.78
1/19/18 0:00,107737
1/21/18 0:00,246207.55
1/6/18 0:00,128551.06
1/14/18 0:00,186708.97
1/30/18 0:00,186706.48
1/4/18 0:00,186723.84
1/29/18 0:00,186699.06
1/5/18 0:00,107825.25
1/10/18 0:00,115112.52
1/2/18 0:00,108553.32
1/19/18 0:00,107737
1/4/18 0:00,186883.16
1/12/18 0:00,224630.77
1/28/18 0:00,179809.72
1/1/18 0:00,186706.48
1/30/18 0:00,186773.34
1/12/18 0:00,188487.38
1/6/18 0:00,111079.19
1/22/18 0:00,109001.22
1/28/18 0:00,101906.61
1/25/18 0:00,338203.78
1/18/18 0:00,189321.34
1/19/18 0:00,186803.31
1/26/18 0:00,138705.48
1/11/18 0:00,162802.31
1/10/18 0:00,206108.77
1/9/18 0:00,188487.38
1/5/18 0:00,117732.86
1/14/18 0:00,186708.97
1/17/18 0:00,188173.9
1/5/18 0:00,186862.52
1/13/18 0:00,121127.664
1/19/18 0:00,107737
1/19/18 0:00,107737
1/9/18 0:00,107796.46
1/21/18 0:00,100239.63
1/11/18 0:00,153460.56
1/5/18 0:00,186819.58
1/4/18 0:00,186852.19
1/11/18 0:00,146641.02
1/5/18 0:00,186794.83
1/13/18 0:00,192300.83
1/6/18 0:00,246721.31
1/13/18 0:00,167816.47
1/14/18 0:00,186708.97
1/27/18 0:00,186944.14
1/30/18 0:00,173404.06
1/12/18 0:00,136093.83
1/3/18 0:00,186792.36
1/6/18 0:00,111080.28
1/30/18 0:00,128403.3
1/4/18 0:00,186701.53
1/26/18 0:00,113239.15
1/26/18 0:00,120779.016
1/5/18 0:00,134292.11
1/19/18 0:00,197559.77
1/13/18 0:00,144032.6
1/12/18 0:00,186699.95
1/11/18 0:00,348192.22
1/11/18 0:00,153460.56
1/30/18 0:00,248998.22
1/2/18 0:00,219149.94
1/19/18 0:00,172598.02
1/12/18 0:00,188487.38
1/27/18 0:00,1562933.5
1/5/18 0:00,168033.6
1/3/18 0:00,186727.12
1/20/18 0:00,146469.69
1/27/18 0:00,159549.55
1/5/18 0:00,186783.28
1/18/18 0:00,121936.77
1/28/18 0:00,186715.08
1/26/18 0:00,218759.89
1/10/18 0:00,140756.64
1/19/18 0:00,186699.95
1/25/18 0:00,190192.17
1/6/18 0:00,186817.11
1/13/18 0:00,176850.64
1/8/18 0:00,129129.85
1/12/18 0:00,183137.42
1/27/18 0:00,527204.5
1/25/18 0:00,451972
1/25/18 0:00,100192.63
1/1/18 0:00,186706.48
1/30/18 0:00,186701.9
1/3/18 0:00,186919.88
1/10/18 0:00,115828.14
1/3/18 0:00,186919.88
1/4/18 0:00,186852.19
1/18/18 0:00,221038.9
1/12/18 0:00,172559.61
1/4/18 0:00,186881.92
1/6/18 0:00,154066.19
1/21/18 0:00,165342.5
1/10/18 0:00,186760.75
1/26/18 0:00,123682.8
1/30/18 0:00,186907.92
1/4/18 0:00,186720.94
1/13/18 0:00,186899.83
1/7/18 0:00,407374.3
1/28/18 0:00,186932.69
1/18/18 0:00,107923.08
1/30/18 0:00,186752.72
1/16/18 0:00,142209.42
1/3/18 0:00,186931.84
1/14/18 0:00,150505.22
1/18/18 0:00,189321.34
1/19/18 0:00,197559.77
1/30/18 0:00,107737.75
1/11/18 0:00,154323.45
1/10/18 0:00,140310.6
1/5/18 0:00,127119.734
1/11/18 0:00,121622.43
1/5/18 0:00,139471.62
1/12/18 0:00,210248.39
1/3/18 0:00,186834.03
1/10/18 0:00,121991.375
1/30/18 0:00,139547.17
1/4/18 0:00,156877.33
1/5/18 0:00,186819.58
1/3/18 0:00,141981.84
1/9/18 0:00,167722.16
1/14/18 0:00,145564.86
1/5/18 0:00,117732.86
1/29/18 0:00,138526.5
1/10/18 0:00,140310.6
1/10/18 0:00,186760.75
1/3/18 0:00,186884.39
1/19/18 0:00,186700.89
1/15/18 0:00,364329.5
1/20/18 0:00,131219.97
1/19/18 0:00,107737
1/10/18 0:00,582744.8
1/3/18 0:00,186834.03
1/24/18 0:00,126369.64
1/5/18 0:00,186812.97
1/10/18 0:00,186760.75
1/10/18 0:00,124905.375
1/12/18 0:00,128877.445
1/13/18 0:00,148342.14
1/19/18 0:00,107737
1/12/18 0:00,150503.62
1/6/18 0:00,140401.4
1/13/18 0:00,151726.05
1/5/18 0:00,186853.44
1/9/18 0:00,186820.16
1/13/18 0:00,188487.38
1/8/18 0:00,175887.42
1/22/18 0:00,156710.02
1/4/18 0:00,186769.64
1/3/18 0:00,186931.84
1/4/18 0:00,226371.77
1/4/18 0:00,186896.77
1/6/18 0:00,126892.16
1/19/18 0:00,192893.98
1/11/18 0:00,152619.67
1/11/18 0:00,167443.03
1/12/18 0:00,140081.28
1/11/18 0:00,186743.28
1/26/18 0:00,148570
1/13/18 0:00,210913.9
1/23/18 0:00,170432
1/8/18 0:00,148124.05
1/27/18 0:00,256378.42
1/10/18 0:00,198502.53
1/18/18 0:00,189321.34
1/25/18 0:00,430523.66
1/6/18 0:00,154066.19
1/14/18 0:00,186708.97
1/10/18 0:00,142715.28
1/10/18 0:00,186760.75
1/27/18 0:00,256378.42
1/19/18 0:00,107737
1/28/18 0:00,106940.41
1/10/18 0:00,186760.75
1/30/18 0:00,186907.92
1/19/18 0:00,233066.28
1/11/18 0:00,158224.08
1/11/18 0:00,146641.02
1/3/18 0:00,126352.93
1/2/18 0:00,220450.05
1/28/18 0:00,139349.33
1/4/18 0:00,186883.16
1/30/18 0:00,128403.3
1/6/18 0:00,186817.11
1/22/18 0:00,124019.234
1/30/18 0:00,186701.9
1/3/18 0:00,186884.39
1/20/18 0:00,209854.61
1/4/18 0:00,186855.9
1/13/18 0:00,140418.73
1/13/18 0:00,224630.77
1/1/18 0:00,186706.48
1/10/18 0:00,230950.16
1/14/18 0:00,186708.97
1/3/18 0:00,186792.36
1/16/18 0:00,155982.14
1/13/18 0:00,119258.336
1/7/18 0:00,165400.12
1/16/18 0:00,138427.03
1/31/18 0:00,118905.984
1/4/18 0:00,186729.6
1/12/18 0:00,189763.19
1/6/18 0:00,195166.25
1/27/18 0:00,250629.94
1/5/18 0:00,139471.62
1/4/18 0:00,186827.42
1/30/18 0:00,102507.36
1/18/18 0:00,189321.34
1/3/18 0:00,186931.84
1/14/18 0:00,186708.97
1/6/18 0:00,123510.09
1/19/18 0:00,107737
1/5/18 0:00,375078.38
1/4/18 0:00,181050.97
1/13/18 0:00,144069.98
1/3/18 0:00,186834.03
1/6/18 0:00,110957.29
1/18/18 0:00,107864.06
1/29/18 0:00,143091.66
1/30/18 0:00,128403.3
1/2/18 0:00,241853.33
1/3/18 0:00,186883.97
1/26/18 0:00,174457.81
1/3/18 0:00,186852.19
1/4/18 0:00,117723.77
1/9/18 0:00,106923.45
1/13/18 0:00,167816.47
1/3/18 0:00,177286.05
1/26/18 0:00,189066.81
1/12/18 0:00,156827.14
1/11/18 0:00,146641.02
1/7/18 0:00,234533.52
1/5/18 0:00,186819.58
1/4/18 0:00,186955.81
1/6/18 0:00,140401.4
1/13/18 0:00,186958.45
1/4/18 0:00,107600.72
1/13/18 0:00,188487.38
1/28/18 0:00,109127.63
1/10/18 0:00,186760.75
1/3/18 0:00,186729.6
1/11/18 0:00,161923.89
1/6/18 0:00,140343.61
1/13/18 0:00,186792.53
1/25/18 0:00,121590.836
1/19/18 0:00,192142.7
1/5/18 0:00,108919.2
1/5/18 0:00,134292.11
1/9/18 0:00,146169.33
1/19/18 0:00,204232.61
1/9/18 0:00,186704.34
1/26/18 0:00,194899.27
1/4/18 0:00,214371.53
1/19/18 0:00,153685.88
1/30/18 0:00,107737.75
1/5/18 0:00,186819.58
1/30/18 0:00,186835.27
1/30/18 0:00,221374.61
1/19/18 0:00,152159.11
1/4/18 0:00,186896.77
1/11/18 0:00,272925.66
1/10/18 0:00,140310.6
1/3/18 0:00,186751.47
1/3/18 0:00,272832.56
1/11/18 0:00,224472.44
1/30/18 0:00,186751.89
1/30/18 0:00,186701.9
1/31/18 0:00,128327.99
1/13/18 0:00,188487.38
1/30/18 0:00,186907.92
1/12/18 0:00,137832.14
1/13/18 0:00,142219.52
1/1/18 0:00,186706.48
1/18/18 0:00,187166.39
1/15/18 0:00,147036.06
1/19/18 0:00,186700.89
1/4/18 0:00,186852.19
1/19/18 0:00,122738.4
1/13/18 0:00,186704.34
1/19/18 0:00,172598.02
1/30/18 0:00,186907.92
1/10/18 0:00,114412.97
1/12/18 0:00,186720.25
1/7/18 0:00,138011
1/13/18 0:00,122695.39
1/27/18 0:00,256378.42
1/11/18 0:00,115637.27
1/19/18 0:00,7189544
1/12/18 0:00,210248.39
1/14/18 0:00,128504.43
1/4/18 0:00,103652.72
1/10/18 0:00,159983.05
1/12/18 0:00,187193.45
1/27/18 0:00,191351.25
1/12/18 0:00,186720.25
1/13/18 0:00,215241.78
1/3/18 0:00,186792.36
1/21/18 0:00,186738.48
1/6/18 0:00,186817.11
1/19/18 0:00,186699.95
1/14/18 0:00,199964.36
1/20/18 0:00,165431.88
1/9/18 0:00,186704.34
1/11/18 0:00,189848.62
1/13/18 0:00,144675.58
1/2/18 0:00,186705.16
1/30/18 0:00,186839.4
1/28/18 0:00,109127.63
1/12/18 0:00,151868.11
1/5/18 0:00,232598.22
1/30/18 0:00,107737.75
1/13/18 0:00,244730.19
1/3/18 0:00,265268.12
1/13/18 0:00,186761.98
1/3/18 0:00,186809.27
1/15/18 0:00,174849.39
1/11/18 0:00,187169.81
1/4/18 0:00,256615.64
1/5/18 0:00,107857.45
1/15/18 0:00,125883.78
1/14/18 0:00,147976.52
1/19/18 0:00,186800.11
1/21/18 0:00,109798.92
1/4/18 0:00,208401.95
1/11/18 0:00,187169.81
1/14/18 0:00,493351.3
1/19/18 0:00,172598.02
1/29/18 0:00,151645.23
1/30/18 0:00,221377.08
1/2/18 0:00,186705.16
1/10/18 0:00,158004.44
1/14/18 0:00,186708.97
1/25/18 0:00,458245.62
1/3/18 0:00,152770.25
1/18/18 0:00,211368
1/19/18 0:00,202930.25
1/26/18 0:00,113239.15
1/15/18 0:00,462464.06
1/14/18 0:00,153841.5
1/19/18 0:00,186699.95
1/9/18 0:00,188487.38
1/10/18 0:00,267536.16
1/12/18 0:00,182640.25
1/19/18 0:00,107737
1/10/18 0:00,162170.9
1/13/18 0:00,167816.47
1/10/18 0:00,233064.6
1/30/18 0:00,107737.75
1/5/18 0:00,137075.3
1/6/18 0:00,186817.11
1/30/18 0:00,186907.92
1/20/18 0:00,9999000
1/27/18 0:00,191351.25
1/10/18 0:00,179917.55
1/2/18 0:00,138726.92
1/19/18 0:00,191251.97
1/9/18 0:00,188487.38
1/10/18 0:00,169177.44
1/10/18 0:00,186760.75
1/28/18 0:00,179809.72
1/19/18 0:00,223356.86
1/26/18 0:00,238151.28
1/3/18 0:00,177286.05
1/30/18 0:00,186706.48
1/10/18 0:00,188021.22
1/5/18 0:00,132941.17
1/30/18 0:00,128403.3
1/19/18 0:00,562423.4
1/30/18 0:00,186956.62
1/10/18 0:00,132955.95
1/18/18 0:00,107954.04
1/10/18 0:00,114412.97
1/25/18 0:00,198340.38
1/8/18 0:00,970321.9
1/26/18 0:00,217149.42
1/3/18 0:00,884879.94
1/18/18 0:00,121936.77
1/13/18 0:00,145767.17
1/19/18 0:00,107737
1/3/18 0:00,186852.19
1/6/18 0:00,246721.31
1/11/18 0:00,117578.49
1/12/18 0:00,224630.77
1/13/18 0:00,167816.47
1/9/18 0:00,186704.34
1/9/18 0:00,189502.3
1/6/18 0:00,127394.31
1/31/18 0:00,146524.67
1/24/18 0:00,104303.74
1/2/18 0:00,181617.16
1/10/18 0:00,173038.22
1/28/18 0:00,136717.81
1/11/18 0:00,172683.84
1/3/18 0:00,186784.08
1/30/18 0:00,208064.56
1/19/18 0:00,132059.6
1/6/18 0:00,186817.11
1/5/18 0:00,174045.22
1/12/18 0:00,140398.97
1/17/18 0:00,186712.84
1/14/18 0:00,186708.97
1/5/18 0:00,139471.62
1/12/18 0:00,189763.19
1/23/18 0:00,182232.42
1/26/18 0:00,225769.2
1/26/18 0:00,145121.36
1/9/18 0:00,188487.38
1/19/18 0:00,186700.89
1/30/18 0:00,186835.27
1/20/18 0:00,151365.45
1/13/18 0:00,115686.05
1/11/18 0:00,302037.1
1/3/18 0:00,186699.48
1/29/18 0:00,115525.62
1/10/18 0:00,186760.75
1/14/18 0:00,143251.78
1/25/18 0:00,158660.61
1/7/18 0:00,176021.31
1/6/18 0:00,150586.34
1/10/18 0:00,186760.75
1/19/18 0:00,186800.11
1/1/18 0:00,126306.914
1/11/18 0:00,186743.28
1/3/18 0:00,354489.94
1/20/18 0:00,9999000
1/11/18 0:00,186743.28
1/28/18 0:00,102118.28
1/30/18 0:00,139547.17
1/2/18 0:00,186705.16
1/2/18 0:00,186705.16
1/20/18 0:00,221266.66
1/4/18 0:00,105616.99
1/16/18 0:00,112432.15
1/1/18 0:00,186706.48
1/16/18 0:00,130191.51
1/11/18 0:00,153460.56
1/11/18 0:00,186963.3
1/4/18 0:00,186875.72
1/10/18 0:00,101868.61
1/20/18 0:00,242483.22
1/12/18 0:00,188487.38
1/19/18 0:00,186700.89
1/19/18 0:00,186915.67
1/19/18 0:00,107737
1/10/18 0:00,186760.75
1/13/18 0:00,148697.58
1/19/18 0:00,241254.48
1/30/18 0:00,186729.6
1/19/18 0:00,240217.83
1/13/18 0:00,360159.22
1/6/18 0:00,246721.31
1/12/18 0:00,153460.56
1/27/18 0:00,256378.42
1/19/18 0:00,107737
1/5/18 0:00,186812.97
1/30/18 0:00,186839.4
1/24/18 0:00,128424.555
1/25/18 0:00,100823.25
1/17/18 0:00,154386.77
1/30/18 0:00,186907.92
1/4/18 0:00,117591.695
1/30/18 0:00,186907.92
1/13/18 0:00,186855.7
1/2/18 0:00,114074.83
1/11/18 0:00,411876.34
1/10/18 0:00,576359.94
1/27/18 0:00,256378.42
1/30/18 0:00,186815.47
1/13/18 0:00,186745.47
1/26/18 0:00,188511.53
1/30/18 0:00,139547.17
1/19/18 0:00,150901.94
1/29/18 0:00,132262.48
1/11/18 0:00,153460.56
1/1/18 0:00,149514.39
1/5/18 0:00,108919.2
1/5/18 0:00,139471.62
1/12/18 0:00,218331.97
1/27/18 0:00,256378.42
1/11/18 0:00,153460.56
1/15/18 0:00,155963.42
1/10/18 0:00,188009.36
1/30/18 0:00,186791.52
1/5/18 0:00,186699.95
1/30/18 0:00,234773.95
1/12/18 0:00,109658.16
1/13/18 0:00,186763.62
1/5/18 0:00,186819.58
1/19/18 0:00,107737
1/5/18 0:00,186819.58
1/25/18 0:00,186775.55
1/13/18 0:00,127005.98
1/10/18 0:00,140310.6
1/14/18 0:00,186708.97
1/10/18 0:00,166030.73
1/30/18 0:00,139547.17
1/24/18 0:00,187263
1/8/18 0:00,201883.16
1/11/18 0:00,272925.66
1/12/18 0:00,107869.39
1/10/18 0:00,186760.75
1/28/18 0:00,186715.08
1/1/18 0:00,186706.48
1/14/18 0:00,186708.97
1/14/18 0:00,166592.4
1/5/18 0:00,198258.55
1/14/18 0:00,167816.47
1/1/18 0:00,111420.59
1/12/18 0:00,210248.39
1/4/18 0:00,186896.77
1/14/18 0:00,239641.64
1/3/18 0:00,158296.14
1/3/18 0:00,186834.03
1/4/18 0:00,195001
1/3/18 0:00,186834.03
1/19/18 0:00,186700.89
1/2/18 0:00,252420.48
1/30/18 0:00,186773.34
1/12/18 0:00,186815.78
1/12/18 0:00,210248.39
1/5/18 0:00,186788.22
1/24/18 0:00,187263
1/12/18 0:00,152881.27
1/2/18 0:00,201487.34
1/3/18 0:00,186792.36
1/24/18 0:00,234383.98
1/30/18 0:00,186701.9
1/12/18 0:00,148479.47
1/3/18 0:00,186699.48
1/6/18 0:00,140401.4
1/1/18 0:00,139151.77
1/9/18 0:00,186704.34
1/18/18 0:00,107935.04
1/21/18 0:00,139204.45
1/4/18 0:00,186827.42
1/11/18 0:00,115637.27
1/18/18 0:00,189321.34
1/23/18 0:00,234107.81
1/3/18 0:00,318082.28
1/27/18 0:00,191351.25
1/4/18 0:00,186827.42
1/30/18 0:00,214767.33
1/15/18 0:00,183909.42
1/1/18 0:00,209472.53
1/4/18 0:00,114821.27
1/29/18 0:00,198761.11
1/10/18 0:00,149565.4
1/12/18 0:00,186720.25
1/12/18 0:00,188487.38
1/9/18 0:00,188487.38
